date,start_date,end_date,type,label,notes
,2025-08-25,2025-08-29,no_school,LEAP Days,
2025-09-01,,,no_school,Labor Day,
2025-09-02,,,first_day,First Day (Grades 1-12),
,2025-09-02,2025-09-04,kinder_family_conn,Kindergarten Family Connections,
,2025-09-02,2025-09-04,half_day,Half-Day Elementary Conferences,
2025-09-05,,,first_day,First Day (Kindergarten),
2025-09-10,,,early_release,Wednesday early release begins,90 min early elementary/105 min secondary
2025-09-10,,,ptsa_event,Coffee Chat,
2025-09-18,,,first_day,First Day of SNAPS,
2025-09-18,,,ptsa_event,Bike Derby & Ice Cream Social,
2025-09-25,,,ptsa_event,Trainings & General Meeting,
2025-09-30,,,ptsa_event,Picture Day,
2025-10-16,,,ptsa_event,Movie Night,
2025-10-17,,,no_school,LEAP Day,
2025-10-23,,,ptsa_event,Board Meeting,
2025-10-30,,,ptsa_event,Picture Day Retakes,
2025-11-04,,,last_day,Last Day 1st Quarter (Secondary),
2025-11-11,,,no_school,Veterans Day,
2025-11-12,,,grades_due,Secondary Grades Due,
2025-11-20,,,ptsa_event,General Meeting,
2025-11-26,,,half_day,Half Day,
,2025-11-27,2025-11-28,no_school,Thanksgiving Break,
,2025-12-10,2025-12-16,ptsa_event,Book Fair,
,2025-12-22,2026-01-02,no_school,Winter Break,
2026-01-19,,,no_school,MLK Jr. Day,
2026-01-21,,,grades_due,Elementary Grades Due,
2026-01-22,,,ptsa_event,Math Night,
2026-01-23,,,last_day,Last Day 1st Semester (Secondary),
,2026-01-27,2026-01-30,half_day,Half-Day Elementary Conferences,
2026-02-02,,,grades_due,Secondary Grades Due,
,2026-02-12,2026-02-13,no_school,Mid-Winter Break,
2026-02-16,,,no_school,Presidents Day,
2026-02-19,,,ptsa_event,Board Meeting,
2026-02-26,,,ptsa_event,Science Fair,
2026-03-13,,,no_school,LEAP Day,
2026-03-20,,,ptsa_event,Dance Night,
2026-03-26,,,ptsa_event,Multicultural Night,
2026-03-26,,,ptsa_event,General Meeting,
2026-04-03,,,last_day,Last Day 3rd Quarter (Secondary),
2026-04-10,,,grades_due,Secondary Grades Due,
,2026-04-13,2026-04-17,no_school,Spring Break,
2026-04-23,,,ptsa_event,Board Meeting,
2026-04-30,,,ptsa_event,Art Night,
,2026-05-08,2026-05-08,ptsa_event,Staff Appreciation Week,
2026-05-14,,,ptsa_event,General Meeting,
2026-05-22,,,no_school,LEAP Day,
2026-05-25,,,no_school,Memorial Day,
2026-05-26,,,closure_possible,School Closure Make-up Day (If needed),
2026-06-04,,,ptsa_event,Board Meeting,
2026-06-09,,,last_day,Last Day of SNAPS,
2026-06-10,,,grades_due,Elementary Grades Due,
2026-06-12,,,ptsa_event,Golf Family Fun Night,
2026-06-17,,,half_day,Half-Day - Last Day of School,
2026-06-18,,,last_day,Last Day 2nd Semester (Secondary),
2026-06-19,,,no_school,Juneteenth,
2026-06-19,,,grades_due,Secondary Grades Due,
,2026-06-22,2026-06-24,closure_possible,School Closure Make-up Days (If needed),
